id;actividad;descripcion;responsable;registro;id_doc
1;yellow;Books Generic;robust withdrawal generate;Garden open-source hybrid;11816
2;Rupiah Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;interface Cotton Robust;58054
3;JSON Texas;bandwidth;application Configurable iterate;Berkshire navigating;32004
4;Direct;Small Frozen Salad bypassing;time-frame Quality;Borders Borders Practical;9170
5;Money Market Account;Danish Krone parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;35091
6;Frozen Metal program;SDD bypassing;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;58130
7;PCI SAS;Interactions;Pennsylvania dynamic bandwidth;navigate Oklahoma;42422
8;National;supply-chains;Tools;Arizona hack;76719
9;quantifying;synthesize Idaho Markets;Glen Refined;Mandatory Assistant;1215
10;Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;Central African Republic;magenta heuristic;99583
