id;elemento;descripcion
1;bypass Ameliorated;Brand
2;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin
3;Tuna Response invoice;alarm Jamaica
4;system Gorgeous Rubber Pants;hack
5;leading-edge;Ergonomic Steel Gloves
6;Developer Shoes Music;Buckinghamshire Hollow Shoes
7;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders
8;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York
9;multi-byte Jamaican Dollar North Carolina;Station
10;parsing Investment Account;Branding Dynamic black
